Alcaldia,Intensidad,Entidad,Area,Perimetro
Azcapotzalco,Bajo,Ciudad de México,330027.570505,2865.95517498
Gustavo A. Madero,Medio,Ciudad de México,286875.39140300005,2296.16066904
Iztacalco,Muy Bajo,Ciudad de México,1629848.35845,5909.10034025
Coyoacán,Muy Bajo,Ciudad de México,456380.456983,3332.45450393
Gustavo A. Madero,Bajo,Ciudad de México,551910.42231,5911.60450334
Iztapalapa,Muy Alto,Ciudad de México,561410.362917,3109.24246789
Iztapalapa,Alto,Ciudad de México,221246.026804,2008.2038464000002
Gustavo A. Madero,Alto,Ciudad de México,208835.165454,2070.59052458
Azcapotzalco,Medio,Ciudad de México,544939.599185,3006.46994131
Coyoacán,Muy Bajo,Ciudad de México,219272.08606399997,3091.56868131
Gustavo A. Madero,Bajo,Ciudad de México,363140.253164,2967.10287075
Azcapotzalco,Bajo,Ciudad de México,667592.903142,5026.60828906
Gustavo A. Madero,Medio,Ciudad de México,73621.217003,1312.78491112
Azcapotzalco,Medio,Ciudad de México,195310.521091,2292.81535045
Iztapalapa,Muy Alto,Ciudad de México,159012.539297,1758.72450347
Coyoacán,Bajo,Ciudad de México,360382.609214,2810.0555520999997
Coyoacán,Alto,Ciudad de México,434732.192828,3899.05129203
Cuauhtémoc,Bajo,Ciudad de México,458344.81236000004,3468.75671392
Venustiano Carranza,Bajo,Ciudad de México,51611.6015527,1013.97329483
Azcapotzalco,Bajo,Ciudad de México,81343.77014580001,1637.22194846
Azcapotzalco,Bajo,Ciudad de México,243677.234113,2436.17142853
Venustiano Carranza,Medio,Ciudad de México,174357.83263299998,1751.84114849
Cuauhtémoc,Medio,Ciudad de México,222638.766554,1875.91013467
Cuauhtémoc,Alto,Ciudad de México,272880.356057,2194.77462644
Cuauhtémoc,Muy Bajo,Ciudad de México,320495.788956,3027.5534389000004
Cuauhtémoc,Alto,Ciudad de México,285511.33585100004,3019.93585796
Cuauhtémoc,Bajo,Ciudad de México,171282.405878,1717.20970251
Gustavo A. Madero,Medio,Ciudad de México,154505.46581300002,1718.91514729
Gustavo A. Madero,Alto,Ciudad de México,169653.739219,1913.14610751
Iztacalco,Bajo,Ciudad de México,307449.565219,2285.29222978
Gustavo A. Madero,Bajo,Ciudad de México,379291.793544,3260.7553971
Gustavo A. Madero,Alto,Ciudad de México,222619.99938899998,2379.79675751
Gustavo A. Madero,Medio,Ciudad de México,51620.1780133,992.822498077
Gustavo A. Madero,Bajo,Ciudad de México,194455.036392,1781.9646151999998
Gustavo A. Madero,Bajo,Ciudad de México,213236.09735,2108.19271145
Iztacalco,Muy Bajo,Ciudad de México,188247.32536800002,1838.49115082
Venustiano Carranza,Alto,Ciudad de México,225085.13721100002,2011.5852848000002
Venustiano Carranza,Bajo,Ciudad de México,90359.7829511,1331.58485273
Cuauhtémoc,Muy Bajo,Ciudad de México,314311.51101300004,2436.12403286
Venustiano Carranza,Muy Bajo,Ciudad de México,70661.54384269999,1182.78814374
Venustiano Carranza,Bajo,Ciudad de México,225054.830077,2060.36447283
Cuauhtémoc,Muy Bajo,Ciudad de México,238480.375339,1946.29289859
Iztapalapa,Medio,Ciudad de México,116216.518528,1598.0561173
Iztapalapa,Medio,Ciudad de México,205354.42214100002,2008.48275556
Gustavo A. Madero,Medio,Ciudad de México,176650.679722,1874.51886509
Gustavo A. Madero,Bajo,Ciudad de México,194184.622144,1999.29168792
Gustavo A. Madero,Bajo,Ciudad de México,388163.426714,2897.60155344
Gustavo A. Madero,Muy Bajo,Ciudad de México,88928.2358607,1441.36580303
Gustavo A. Madero,Bajo,Ciudad de México,157079.430978,1587.94015246
Xochimilco,Muy Alto,Ciudad de México,420448.301984,3165.92305868
Tláhuac,Medio,Ciudad de México,231342.808121,1976.99618709
Xochimilco,Medio,Ciudad de México,337318.910322,2712.15022522
Tláhuac,Muy Alto,Ciudad de México,1016154.65843,5271.97192101
